,imageId,allScore,karynElo,mikeElo,paulElo,peteElo,susanElo,allRank
46,166,1453.207979,1653.498606,1684.466943,1779.189273,1846.179344,1825.965022,3
47,167,2319.187544,2323.307975,2267.176589,2235.195568,2254.131913,2285.069674,60
48,168,2274.202058,2287.498947,2319.14959,2244.835406,2255.866068,2344.38417,58
49,169,1926.822481,2042.438156,2090.469046,2051.70542,1960.982409,2172.61609,40
50,170,1881.394086,1879.530972,2112.374505,2050.473378,2108.075543,2134.330174,38
51,171,1962.350744,1960.29959,1991.663541,2156.160962,2138.191329,2036.692614,41
52,172,2740.015904,2352.925789,2586.59174,2585.714115,2482.373052,2602.145131,80
53,173,2244.630382,2293.697321,2308.540577,2233.710974,2191.368725,2237.260275,54
54,174,2055.46677,2117.45231,2124.880655,2226.499755,2188.578595,2168.178499,50
55,175,1976.458325,2145.19482,2153.255884,2107.479406,2039.245406,2004.24579,43
56,176,1709.498466,1881.275738,1888.542636,1950.630919,1962.672129,1906.686302,20
57,177,2140.018115,2144.320035,2212.735208,2201.74469,2190.541673,2116.961876,53
58,178,1469.814075,1829.955472,1701.342523,1816.202685,1805.327967,1716.234112,7
59,179,1475.932847,1835.266555,1800.61572,1877.362083,1811.590825,1637.8894,9
60,180,2938.682241,2631.26964,2595.918693,2681.761183,2612.263982,2637.420847,89
61,181,3119.54007,2615.921752,2731.88378,2685.871278,2732.017664,2686.152031,97
62,182,2909.28682,2697.941362,2547.018789,2573.903681,2582.71431,2558.067076,87
63,183,1795.632059,1919.751118,1954.219331,1981.027266,2034.495109,1977.561345,28
64,184,1748.369562,1926.904866,1913.644778,1934.896676,1958.555609,1805.446088,24
65,185,1670.581775,1907.263106,1860.79139,1879.705119,1856.850243,1943.648845,18
66,186,2984.455029,2615.991168,2689.818316,2590.011524,2647.935458,2706.151764,92
67,187,3171.470255,2657.415087,2653.904705,2746.903616,2751.422328,2729.862801,98
68,188,1467.910978,1685.753195,1741.408406,1786.722052,1732.044874,1769.097415,6
69,189,1455.0579,1765.414964,1615.851634,1775.196689,1714.761801,1788.557302,4
70,190,1795.426729,1961.158861,1961.324534,1966.439479,1870.591365,1978.47335,27
71,191,3078.562604,2537.944354,2710.752482,2692.794466,2754.764846,2701.908112,96
72,192,1440.621865,1746.692571,1683.480476,1650.537408,1876.149349,1791.979656,2
73,193,2559.797372,2512.012753,2418.137187,2338.288871,2381.323967,2566.640841,70
74,194,1796.723424,1991.236195,1968.939022,2003.075687,1766.547185,2060.847128,29
75,195,1724.981312,1981.596508,1975.445677,1926.624077,1861.862897,1984.405613,21
76,196,1411.543414,1738.185472,1798.986754,1810.057181,1744.088831,1793.062408,1
77,197,1455.892737,1701.737804,1849.343395,1841.280825,1820.207183,1640.485662,5
78,198,1578.104866,1795.655761,1760.470689,1758.301842,1793.946956,1957.745627,14
79,199,2906.219727,2596.647934,2616.727614,2581.47724,2623.363729,2562.230748,86
80,200,2942.036711,2563.691319,2549.389217,2672.439042,2674.607587,2577.673626,90
81,201,1995.230201,2168.241674,2074.180919,2177.951721,2077.975184,2001.947991,47
82,202,1513.19127,1771.258526,1890.777235,1827.468932,1758.172007,1671.901307,10
83,203,2647.745674,2589.138852,2444.26351,2433.44236,2396.832511,2418.536098,76
84,204,1560.985201,1770.714044,1877.321232,1859.721885,1924.762929,1773.092449,13
85,205,1833.29328,2072.174786,2019.740642,1984.694156,1872.377382,1994.98309,31
86,206,2500.063269,2427.455857,2316.5844,2417.940352,2270.141015,2317.756382,67
87,207,2596.657286,2479.874169,2390.925705,2360.735252,2418.963671,2444.911324,73
88,208,1846.745711,1903.282905,2127.840715,1898.110101,1970.387611,1900.053589,33
89,209,1764.966311,1920.849794,2099.973245,1954.24776,1892.04734,1729.589764,25
90,210,2706.52935,2429.225707,2510.413391,2464.170716,2555.719566,2499.623923,79
91,211,2803.682125,2655.699754,2493.813881,2603.413226,2481.243975,2626.443198,84
92,212,2259.951546,2118.024336,2235.304693,2251.632988,2356.945562,2324.223433,56
93,213,1871.279899,2069.05427,2086.743663,1958.434103,1786.775485,2169.198775,36
94,214,3026.102899,2650.486067,2712.728695,2629.110263,2668.758091,2688.740889,94
95,215,1992.02188,2172.055415,2066.820818,2003.556778,2133.593448,2219.014161,46
96,216,3180.614673,2617.894846,2781.33653,2741.937646,2729.708989,2752.037121,99
97,217,2021.747697,2209.006802,2049.976675,2182.997953,2152.787459,2052.028337,48
98,218,2769.739496,2572.296441,2526.857418,2561.388908,2494.780292,2457.273289,82
99,219,1656.985934,1906.998151,1826.86737,1892.091841,2022.257319,1977.633638,17
100,220,2484.248887,2389.091385,2336.323806,2419.717782,2405.282606,2262.133246,65
