task_id,image0,image1,winner,user
1227,180,204,1,karyn
1228,204,218,0,karyn
1229,139,175,0,karyn
123,129,157,0,karyn
1230,124,218,0,karyn
1231,157,168,0,karyn
1232,133,189,1,karyn
1233,207,217,1,karyn
1234,148,162,0,karyn
1235,144,162,0,karyn
1236,190,213,0,karyn
1237,143,211,0,karyn
1238,130,205,1,karyn
1239,138,209,0,karyn
124,136,160,1,karyn
1240,140,181,0,karyn
1241,195,206,0,karyn
1242,123,168,0,karyn
1243,155,201,0,karyn
1244,130,202,1,karyn
1245,185,171,0,karyn
1246,153,194,1,karyn
1247,131,191,0,karyn
1248,207,182,0,karyn
1249,133,209,0,karyn
125,199,218,1,karyn
1250,143,184,1,karyn
1251,188,218,0,karyn
1252,151,215,0,karyn
1253,171,137,0,karyn
1254,127,148,0,karyn
1255,204,171,0,karyn
1256,182,209,1,karyn
1257,145,203,1,karyn
1258,156,166,1,karyn
1259,204,209,0,karyn
126,123,170,1,karyn
1260,211,210,1,karyn
1261,219,178,1,karyn
1262,122,215,1,karyn
1263,150,161,1,karyn
1264,123,214,0,karyn
1265,181,170,1,karyn
1266,175,215,0,karyn
1267,131,149,0,karyn
1268,196,199,0,karyn
1269,134,152,1,karyn
127,131,134,0,karyn
1270,127,152,1,karyn
1271,165,170,1,karyn
1272,204,135,1,karyn
1273,129,135,1,karyn
1274,123,136,1,karyn
1275,135,217,0,karyn
1276,151,184,0,karyn
1277,151,159,0,karyn
1278,182,187,0,karyn
1279,198,216,0,karyn
128,211,159,1,karyn
1280,201,203,0,karyn
1281,183,213,0,karyn
1282,142,218,1,karyn
1283,159,160,1,karyn
1284,135,140,0,karyn
1285,177,203,0,karyn
1286,144,202,1,karyn
1287,210,166,1,karyn
1288,168,220,0,karyn
1289,128,215,0,karyn
129,150,158,0,karyn
1290,170,149,0,karyn
1291,165,217,1,karyn
1292,196,216,0,karyn
1293,146,210,0,karyn
1294,134,140,0,karyn
1295,192,205,0,karyn
1296,161,175,0,karyn
1297,202,211,0,karyn
1298,170,128,1,karyn
1299,155,153,0,karyn
13,194,171,0,karyn
130,157,204,1,karyn
1300,133,178,1,karyn
1301,153,189,1,karyn
1302,201,134,0,karyn
1303,189,203,0,karyn
1304,142,160,1,karyn
1305,132,209,1,karyn
1306,137,135,1,karyn
1307,133,150,0,karyn
1308,184,190,0,karyn
1309,148,198,1,karyn
131,134,199,0,karyn
1310,156,169,1,karyn
1311,171,148,0,karyn
1312,155,214,0,karyn
1313,137,196,1,karyn
1314,172,214,0,karyn
1315,161,177,1,karyn
1316,151,207,0,karyn
1317,148,202,1,karyn
1318,131,152,0,karyn
1319,142,200,1,karyn
132,155,208,1,karyn
1320,135,189,1,karyn
1321,214,216,0,karyn
1322,130,143,1,karyn
1323,154,218,0,karyn
1324,175,171,1,karyn
1325,172,217,1,karyn
1326,166,215,0,karyn
1327,206,213,1,karyn
1328,134,162,0,karyn
1329,158,170,1,karyn
133,166,186,0,karyn
1330,204,196,1,karyn
1331,159,213,1,karyn
1332,136,166,1,karyn
1333,162,207,1,karyn
1334,132,216,0,karyn
1335,125,164,1,karyn
1336,161,184,1,karyn
1337,135,212,0,karyn
1338,121,212,0,karyn
1339,205,187,0,karyn
134,168,199,0,karyn
1340,149,210,1,karyn
1341,148,190,1,karyn
1342,147,213,1,karyn
1343,209,152,0,karyn
1344,123,144,1,karyn
1345,175,160,1,karyn
1346,179,191,0,karyn
1347,155,173,0,karyn
1348,133,164,0,karyn
1349,172,159,0,karyn
135,142,144,1,karyn
1350,122,216,0,karyn
1351,140,160,1,karyn
1352,141,148,1,karyn
1353,139,188,1,karyn
1354,132,157,1,karyn
1355,170,218,0,karyn
1356,139,166,1,karyn
1357,152,164,1,karyn
1358,177,207,0,karyn
1359,140,215,1,karyn
136,155,213,0,karyn
1360,136,175,0,karyn
1361,201,150,0,karyn
1362,185,129,1,karyn
1363,175,185,1,karyn
1364,125,172,0,karyn
1365,123,138,1,karyn
1366,134,149,0,karyn
1367,152,209,1,karyn
1368,155,206,0,karyn
1369,203,214,0,karyn
137,133,148,0,karyn
1370,128,168,0,karyn
1371,166,205,0,karyn
1372,140,163,1,karyn
1373,138,211,0,karyn
1374,126,219,1,karyn
1375,170,196,0,karyn
1376,133,195,0,karyn
1377,214,215,1,karyn
1378,154,208,0,karyn
1379,162,153,0,karyn
138,132,203,0,karyn
1380,153,205,1,karyn
1381,127,192,1,karyn
1382,173,185,1,karyn
1383,169,175,0,karyn
1384,195,205,1,karyn
1385,146,211,0,karyn
1386,123,182,0,karyn
1387,132,159,0,karyn
1388,140,178,1,karyn
1389,138,176,1,karyn
139,159,167,1,karyn
1390,159,149,0,karyn
1391,138,153,0,karyn
1392,189,143,0,karyn
1393,128,198,0,karyn
1394,206,208,1,karyn
1395,152,216,0,karyn
1396,141,201,1,karyn
1397,167,178,1,karyn
1398,200,204,1,karyn
1399,145,163,1,karyn
14,137,211,0,karyn
140,155,156,0,karyn
1400,185,192,1,karyn
1401,155,168,0,karyn
1402,196,198,0,karyn
1403,164,166,1,karyn
1404,151,163,0,karyn
1405,152,160,1,karyn
1406,169,190,0,karyn
1407,177,215,0,karyn
1408,185,139,0,karyn
1409,197,198,0,karyn
141,152,210,0,karyn
1410,127,165,1,karyn
1411,126,215,1,karyn
1412,134,170,1,karyn
1413,122,178,1,karyn
1414,127,188,1,karyn
1415,190,138,1,karyn
1416,162,186,0,karyn
1417,211,121,1,karyn
1418,197,191,0,karyn
1419,136,161,0,karyn
142,182,206,1,karyn
1420,207,208,1,karyn
1421,186,215,1,karyn
1422,126,199,0,karyn
1423,129,132,0,karyn
1424,125,128,1,karyn
1425,148,203,0,karyn
1426,123,203,0,karyn
1427,132,137,1,karyn
1428,156,208,1,karyn
1429,220,212,1,karyn
143,202,121,0,karyn
1430,176,197,1,karyn
1431,198,160,1,karyn
1432,216,219,1,karyn
1433,206,216,0,karyn
1434,150,173,0,karyn
1435,146,167,0,karyn
1436,145,185,1,karyn
1437,161,200,0,karyn
1438,179,195,0,karyn
1439,169,170,0,karyn
144,133,144,0,karyn
1440,129,199,0,karyn
1441,192,208,1,karyn
1442,194,151,1,karyn
1443,157,219,1,karyn
1444,198,215,0,karyn
1445,176,200,0,karyn
1446,127,150,1,karyn
1447,171,201,0,karyn
1448,127,185,1,karyn
1449,127,145,1,karyn
145,180,213,1,karyn
1450,191,213,1,karyn
1451,138,139,0,karyn
1452,150,177,0,karyn
1453,130,132,1,karyn
1454,185,207,0,karyn
1455,177,166,1,karyn
1456,186,168,1,karyn
1457,122,185,1,karyn
1458,124,142,0,karyn
1459,154,164,0,karyn
146,149,157,1,karyn
1460,137,202,1,karyn
1461,122,200,0,karyn
1462,145,206,1,karyn
1463,146,185,1,karyn
1464,137,150,1,karyn
1465,143,171,1,karyn
1466,181,202,1,karyn
1467,141,184,1,karyn
1468,197,212,0,karyn
1469,125,192,1,karyn
147,175,183,1,karyn
1470,121,162,0,karyn
1471,148,157,1,karyn
1472,201,214,0,karyn
1473,140,122,0,karyn
1474,180,200,0,karyn
1475,148,207,0,karyn
1476,121,213,1,karyn
1477,143,148,1,karyn
1478,158,219,1,karyn
1479,193,206,1,karyn
148,166,152,0,karyn
1480,177,184,1,karyn
1481,130,207,1,karyn
1482,200,203,1,karyn
1483,187,131,1,karyn
1484,138,163,0,karyn
1485,162,121,1,karyn
1486,144,208,1,karyn
1487,124,163,0,karyn
1488,128,186,0,karyn
1489,190,199,0,karyn
149,147,121,0,karyn
1490,124,196,1,karyn
1491,136,220,0,karyn
1492,199,213,1,karyn
1493,142,209,1,karyn
1494,171,209,0,karyn
1495,123,159,0,karyn
1496,197,202,0,karyn
1497,220,179,1,karyn
1498,127,169,1,karyn
1499,143,190,1,karyn
15,152,133,1,karyn
150,161,204,1,karyn
1500,217,174,1,karyn
1501,181,209,1,karyn
1502,142,147,1,karyn
1503,204,216,0,karyn
1504,161,192,1,karyn
1505,128,217,0,karyn
1506,158,171,1,karyn
1507,143,163,1,karyn
1508,142,149,0,karyn
1509,130,218,1,karyn
151,135,151,0,karyn
1510,184,189,1,karyn
1511,133,155,0,karyn
1512,193,214,0,karyn
1513,125,129,1,karyn
1514,156,160,1,karyn
1515,138,214,0,karyn
1516,132,211,0,karyn
1517,161,185,1,karyn
1518,133,188,1,karyn
1519,209,178,0,karyn
152,154,143,0,karyn
1520,150,166,1,karyn
1521,186,190,1,karyn
1522,134,190,1,karyn
1523,145,169,1,karyn
1524,123,146,1,karyn
1525,121,172,0,karyn
1526,144,206,0,karyn
1527,125,138,1,karyn
1528,180,210,1,karyn
1529,162,165,1,karyn
153,180,187,0,karyn
1530,208,219,0,karyn
1531,194,201,0,karyn
1532,170,154,0,karyn
1533,211,122,1,karyn
1534,190,193,0,karyn
1535,132,197,1,karyn
1536,176,189,1,karyn
1537,184,196,1,karyn
1538,147,207,0,karyn
1539,172,180,0,karyn
154,173,193,0,karyn
1540,177,121,0,karyn
1541,194,220,0,karyn
1542,151,200,0,karyn
1543,145,167,1,karyn
1544,141,182,0,karyn
1545,201,122,0,karyn
1546,144,186,0,karyn
1547,148,199,0,karyn
1548,131,148,0,karyn
1549,121,211,0,karyn
155,164,214,0,karyn
1550,171,207,0,karyn
1551,162,168,1,karyn
1552,126,183,1,karyn
1553,138,179,1,karyn
1554,147,194,1,karyn
1555,173,175,1,karyn
1556,141,134,1,karyn
1557,179,206,0,karyn
1558,150,207,0,karyn
1559,123,217,1,karyn
156,188,186,0,karyn
1560,143,154,1,karyn
1561,141,188,1,karyn
1562,169,219,0,karyn
1563,169,202,0,karyn
1564,168,194,1,karyn
1565,151,125,0,karyn
1566,187,219,1,karyn
1567,168,203,1,karyn
1568,121,129,1,karyn
1569,191,194,1,karyn
157,211,122,0,karyn
1570,173,191,0,karyn
1571,128,137,0,karyn
1572,154,156,0,karyn
1573,125,215,1,karyn
1574,141,199,1,karyn
1575,134,175,1,karyn
1576,173,198,1,karyn
1577,175,203,0,karyn
1578,146,147,0,karyn
1579,139,217,0,karyn
158,175,205,1,karyn
1580,127,139,1,karyn
1581,162,179,1,karyn
1582,202,167,0,karyn
1583,178,207,0,karyn
1584,150,178,1,karyn
1585,162,202,1,karyn
1586,146,170,1,karyn
1587,193,155,1,karyn
1588,201,161,1,karyn
1589,127,140,1,karyn
159,178,215,0,karyn
1590,130,134,1,karyn
1591,145,187,0,karyn
1592,178,212,0,karyn
1593,155,205,0,karyn
1594,132,190,1,karyn
1595,149,163,1,karyn
1596,212,204,1,karyn
1597,159,220,1,karyn
1598,131,165,0,karyn
1599,142,191,0,karyn
16,149,206,1,karyn
160,175,177,0,karyn
1600,149,161,1,karyn
1601,131,132,0,karyn
1602,162,213,1,karyn
1603,192,178,1,karyn
1604,187,215,1,karyn
1605,150,192,1,karyn
1606,122,169,1,karyn
1607,176,190,1,karyn
1608,199,162,1,karyn
1609,135,165,0,karyn
161,145,193,0,karyn
1610,165,201,1,karyn
1611,131,200,0,karyn
1612,139,183,1,karyn
1613,203,217,1,karyn
1614,167,198,1,karyn
1615,169,176,0,karyn
1616,122,170,1,karyn
1617,204,220,0,karyn
1618,210,152,1,karyn
1619,126,170,1,karyn
162,137,183,1,karyn
1620,147,127,0,karyn
1621,146,196,1,karyn
1622,132,194,1,karyn
1623,210,184,1,karyn
1624,126,130,1,karyn
1625,175,170,0,karyn
1626,124,159,0,karyn
1627,140,174,1,karyn
1628,125,147,1,karyn
1629,123,191,0,karyn
163,169,215,0,karyn
1630,148,156,1,karyn
1631,159,198,1,karyn
1632,129,150,1,karyn
1633,189,191,0,karyn
1634,200,202,1,karyn
1635,197,218,0,karyn
1636,189,139,0,karyn
1637,195,181,0,karyn
1638,144,212,1,karyn
1639,140,193,0,karyn
164,137,174,1,karyn
1640,138,160,1,karyn
1641,198,206,0,karyn
1642,150,201,1,karyn
1643,123,162,0,karyn
1644,131,194,1,karyn
1645,135,215,0,karyn
1646,179,210,0,karyn
1647,187,167,1,karyn
1648,121,127,0,karyn
1649,140,196,1,karyn
165,219,128,0,karyn
1650,186,148,1,karyn
1651,138,177,0,karyn
1652,188,192,0,karyn
1653,158,165,0,karyn
1654,178,149,0,karyn
1655,152,203,0,karyn
1656,157,145,0,karyn
1657,130,183,1,karyn
1658,211,130,1,karyn
1659,135,158,0,karyn
166,206,159,1,karyn
1660,128,191,0,karyn
1661,133,183,0,karyn
1662,130,178,1,karyn
1663,121,189,1,karyn
1664,170,210,0,karyn
1665,136,172,0,karyn
1666,128,155,0,karyn
1667,158,209,1,karyn
1668,135,193,0,karyn
1669,164,197,1,karyn
167,129,219,1,karyn
1670,121,206,0,karyn
1671,136,218,0,karyn
1672,135,139,0,karyn
1673,138,199,0,karyn
1674,204,189,1,karyn
1675,156,216,0,karyn
1676,187,199,1,karyn
1677,168,181,0,karyn
1678,135,205,0,karyn
1679,144,157,0,karyn
168,175,152,0,karyn
1680,151,173,0,karyn
1681,158,127,0,karyn
1682,203,200,0,karyn
1683,169,180,0,karyn
1684,133,139,0,karyn
1685,139,167,0,karyn
1686,158,180,0,karyn
1687,167,207,0,karyn
1688,191,123,1,karyn
1689,128,214,0,karyn
169,135,130,0,karyn
1690,153,168,1,karyn
1691,212,220,0,karyn
1692,136,202,1,karyn
1693,181,179,1,karyn
1694,147,138,1,karyn
1695,198,203,0,karyn
1696,192,199,0,karyn
1697,179,220,0,karyn
1698,191,200,1,karyn
1699,143,220,1,karyn
17,165,166,1,karyn
170,133,213,0,karyn
1700,164,213,0,karyn
1701,132,138,1,karyn
1702,125,140,0,karyn
1703,146,178,1,karyn
1704,169,184,1,karyn
1705,197,149,0,karyn
1706,148,208,1,karyn
1707,139,171,1,karyn
1708,128,209,0,karyn
1709,155,196,1,karyn
171,202,204,1,karyn
1710,131,175,0,karyn
1711,156,187,0,karyn
1712,145,135,1,karyn
1713,155,220,0,karyn
1714,126,178,1,karyn
1715,144,167,0,karyn
1716,162,138,1,karyn
1717,172,182,0,karyn
1718,123,196,1,karyn
1719,136,170,1,karyn
172,158,209,1,karyn
1720,175,176,1,karyn
1721,182,149,0,karyn
1722,170,205,0,karyn
1723,176,127,0,karyn
1724,150,180,0,karyn
1725,193,198,1,karyn
1726,148,217,1,karyn
1727,139,152,0,karyn
1728,124,212,0,karyn
1729,139,178,1,karyn
173,174,212,0,karyn
1730,170,186,0,karyn
1731,189,163,0,karyn
1732,146,206,0,karyn
1733,121,138,1,karyn
1734,137,204,1,karyn
1735,182,201,1,karyn
1736,159,178,1,karyn
1737,132,174,1,karyn
1738,166,194,0,karyn
1739,173,183,1,karyn
174,196,219,0,karyn
1740,207,212,1,karyn
1741,124,165,0,karyn
1742,126,169,1,karyn
1743,140,200,0,karyn
1744,171,199,0,karyn
1745,163,179,1,karyn
1746,121,190,1,karyn
1747,160,169,0,karyn
1748,155,172,0,karyn
1749,199,213,1,karyn
175,170,219,1,karyn
1750,193,182,0,karyn
1751,161,169,0,karyn
1752,138,182,0,karyn
1753,186,202,1,karyn
1754,133,161,0,karyn
1755,193,212,1,karyn
1756,153,171,1,karyn
1757,198,138,0,karyn
1758,194,179,1,karyn
1759,146,186,0,karyn
176,139,215,0,karyn
1760,219,131,1,karyn
1761,129,159,0,karyn
1762,142,168,1,karyn
1763,200,212,1,karyn
1764,151,208,1,karyn
1765,128,131,0,karyn
1766,214,152,1,karyn
1767,163,145,0,karyn
1768,141,202,1,karyn
1769,163,208,1,karyn
177,150,220,0,karyn
1770,130,197,1,karyn
1771,123,216,0,karyn
1772,167,203,0,karyn
1773,157,163,0,karyn
1774,147,159,0,karyn
1775,193,142,0,karyn
1776,132,186,0,karyn
1777,180,181,1,karyn
1778,185,202,1,karyn
1779,131,196,1,karyn
178,144,218,0,karyn
1780,197,137,0,karyn
1781,177,188,1,karyn
1782,160,176,0,karyn
1783,150,148,0,karyn
1784,121,131,1,karyn
1785,146,144,0,karyn
1786,152,149,0,karyn
1787,188,180,0,karyn
1788,133,172,0,karyn
1789,199,216,0,karyn
179,140,152,1,karyn
1790,133,215,0,karyn
1791,185,218,0,karyn
1792,139,144,0,karyn
1793,217,126,0,karyn
1794,123,124,1,karyn
1795,179,173,0,karyn
1796,174,185,1,karyn
1797,133,163,0,karyn
1798,121,158,1,karyn
1799,157,165,0,karyn
18,154,173,0,karyn
180,135,148,0,karyn
1800,152,133,1,karyn
1801,177,200,0,karyn
1802,172,194,1,karyn
1803,154,172,0,karyn
1804,218,219,1,karyn
1805,160,181,0,karyn
1806,154,157,0,karyn
1807,151,209,0,karyn
1808,157,164,1,karyn
1809,124,207,0,karyn
181,197,209,0,karyn
1810,162,192,1,karyn
1811,122,143,0,karyn
1812,163,217,1,karyn
1813,176,125,0,karyn
1814,154,187,0,karyn
1815,174,195,1,karyn
1816,156,157,0,karyn
1817,193,195,1,karyn
1818,150,210,0,karyn
1819,162,211,0,karyn
182,126,171,1,karyn
1820,145,153,0,karyn
1821,194,219,1,karyn
1822,130,196,1,karyn
1823,162,172,1,karyn
1824,139,205,0,karyn
1825,133,205,0,karyn
1826,197,199,0,karyn
1827,133,214,0,karyn
1828,184,213,0,karyn
1829,123,165,0,karyn
183,174,220,0,karyn
1830,131,217,0,karyn
1831,151,155,0,karyn
1832,181,207,1,karyn
1833,132,141,0,karyn
1834,158,166,1,karyn
1835,130,195,1,karyn
1836,163,128,1,karyn
1837,151,164,0,karyn
1838,122,143,0,karyn
1839,129,218,0,karyn
184,166,206,0,karyn
1840,159,207,0,karyn
1841,129,138,1,karyn
1842,192,211,0,karyn
1843,160,178,1,karyn
1844,135,136,0,karyn
1845,165,183,1,karyn
1846,162,204,1,karyn
1847,146,219,1,karyn
1848,173,196,1,karyn
1849,199,211,0,karyn
185,142,207,1,karyn
1850,130,216,1,karyn
1851,173,146,1,karyn
1852,145,183,1,karyn
1853,207,200,1,karyn
1854,176,208,0,karyn
1855,124,192,1,karyn
1856,179,201,0,karyn
1857,155,161,0,karyn
1858,167,195,1,karyn
1859,194,213,0,karyn
186,133,174,0,karyn
1860,205,213,0,karyn
1861,181,195,1,karyn
1862,127,197,1,karyn
1863,188,217,0,karyn
1864,176,214,0,karyn
1865,127,128,1,karyn
1866,159,139,1,karyn
1867,161,196,1,karyn
1868,192,201,0,karyn
1869,198,210,0,karyn
187,173,189,1,karyn
1870,140,201,1,karyn
1871,207,156,1,karyn
1872,152,217,0,karyn
1873,147,218,0,karyn
1874,142,197,1,karyn
1875,144,214,0,karyn
1876,160,201,0,karyn
1877,131,142,0,karyn
1878,171,203,0,karyn
1879,170,178,1,karyn
188,149,195,1,karyn
1880,169,213,1,karyn
1881,168,212,1,karyn
1882,139,184,1,karyn
1883,124,177,0,karyn
1884,130,142,1,karyn
1885,166,180,0,karyn
1886,191,159,1,karyn
1887,134,156,1,karyn
1888,188,193,0,karyn
1889,124,198,0,karyn
189,166,169,0,karyn
1890,161,170,1,karyn
1891,121,126,0,karyn
1892,170,190,1,karyn
1893,171,208,1,karyn
1894,121,173,0,karyn
1895,173,177,1,karyn
1896,123,178,1,karyn
1897,213,214,0,karyn
1898,146,168,0,karyn
1899,170,174,0,karyn
19,128,178,0,karyn
190,159,166,1,karyn
1900,161,203,0,karyn
1901,154,216,0,karyn
1902,209,160,0,karyn
1903,154,160,1,karyn
1904,205,144,1,karyn
1905,134,185,1,karyn
1906,127,167,1,karyn
1907,143,192,1,karyn
1908,186,161,1,karyn
1909,209,186,0,karyn
191,134,172,1,karyn
1910,156,199,0,karyn
1911,175,207,0,karyn
1912,126,181,0,karyn
1913,190,167,0,karyn
1914,161,207,0,karyn
1915,168,201,1,karyn
1916,189,194,0,karyn
1917,121,160,1,karyn
1918,184,212,1,karyn
1919,189,144,0,karyn
192,184,207,0,karyn
1920,164,182,0,karyn
1921,142,157,1,karyn
1922,124,146,0,karyn
1923,164,193,0,karyn
1924,125,202,1,karyn
1925,169,122,0,karyn
1926,163,213,1,karyn
1927,180,211,0,karyn
1928,183,160,1,karyn
1929,154,214,0,karyn
193,136,178,1,karyn
1930,136,198,1,karyn
1931,155,194,0,karyn
1932,132,180,0,karyn
1933,161,176,1,karyn
1934,169,211,0,karyn
1935,212,186,0,karyn
1936,137,187,0,karyn
1937,151,154,0,karyn
1938,188,139,0,karyn
1939,130,131,1,karyn
194,131,158,0,karyn
1940,151,166,0,karyn
1941,209,135,1,karyn
1942,158,199,0,karyn
1943,147,171,1,karyn
1944,140,220,0,karyn
1945,156,174,1,karyn
1946,126,187,0,karyn
1947,159,193,0,karyn
1948,135,194,0,karyn
1949,131,166,1,karyn
195,206,203,0,karyn
1950,142,195,1,karyn
1951,210,182,0,karyn
1952,194,215,0,karyn
1953,180,216,0,karyn
1954,140,217,1,karyn
1955,180,220,1,karyn
1956,160,214,0,karyn
1957,195,200,0,karyn
1958,143,129,1,karyn
1959,158,150,1,karyn
196,163,193,0,karyn
1960,178,136,1,karyn
1961,123,135,1,karyn
1962,123,131,1,karyn
1963,193,209,1,karyn
1964,182,185,1,karyn
1965,146,175,0,karyn
1966,185,188,1,karyn
1967,161,172,0,karyn
1968,159,180,0,karyn
1969,132,200,0,karyn
197,168,210,0,karyn
1970,124,158,0,karyn
1971,128,142,0,karyn
1972,200,192,1,karyn
1973,138,181,0,karyn
1974,122,202,1,karyn
1975,216,127,1,karyn
1976,203,124,1,karyn
1977,184,192,1,karyn
1978,185,194,1,karyn
1979,134,169,1,karyn
198,147,170,1,karyn
1980,140,146,1,karyn
1981,173,204,1,karyn
1982,147,174,1,karyn
1983,151,172,0,karyn
1984,153,161,1,karyn
1985,131,147,1,karyn
1986,135,183,1,karyn
1987,143,209,1,karyn
1988,123,155,1,karyn
1989,124,185,1,karyn
199,172,195,1,karyn
