Row Labels,img0,img1,rank0,rank1,rankDiff,jason,jim,karyn,kelly,maria,mike,mikeR,mikeS,nina,paul,pete,susan,testuser4,1s,`-1s,totalCount,agreementRatio
49,263,272,14,17,3,1,1,1,1,-1,1,1,1,1,1,1,1,1,12,1,13,0.92
50,262,265,13,22,9,1,1,-1,1,1,1,1,1,1,1,1,1,1,12,1,13,0.92
51,258,253,3,34,31,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
52,278,271,4,12,8,1,-1,1,1,1,1,1,1,1,1,1,1,1,12,1,13,0.92
53,251,265,7,22,15,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
54,271,279,12,19,7,1,1,1,1,-1,1,1,1,1,-1,1,1,1,11,2,13,0.85
55,248,262,24,13,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,12,13,0.92
56,267,278,25,4,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
57,278,255,4,27,23,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
58,263,274,14,11,3,1,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,7,6,13,0.54
59,249,258,2,3,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,4,9,13,0.69
60,258,268,3,33,30,1,1,1,1,-1,1,1,1,1,1,1,1,1,12,1,13,0.92
61,248,266,24,31,7,1,-1,1,1,-1,1,1,1,1,1,1,1,-1,10,3,13,0.77
62,268,265,33,22,11,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,3,10,13,0.77
63,260,278,28,4,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
64,251,252,7,10,3,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,8,5,13,0.62
65,250,268,1,33,32,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
66,276,247,15,20,5,1,1,-1,1,1,1,1,1,-1,1,1,1,1,11,2,13,0.85
67,248,275,24,30,6,1,1,1,1,1,1,1,1,-1,1,1,1,1,12,1,13,0.92
68,263,278,14,4,10,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,6,7,13,0.54
69,255,277,27,29,2,-1,-1,-1,1,1,-1,1,-1,1,-1,1,1,1,7,6,13,0.54
70,255,275,27,30,3,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
71,267,273,25,6,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,12,13,0.92
72,270,278,23,4,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
73,260,253,28,34,6,1,1,1,1,-1,1,-1,1,1,1,1,1,1,11,2,13,0.85
74,279,271,19,12,7,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,3,10,13,0.77
75,254,265,5,22,17,1,1,-1,1,1,1,1,1,1,1,1,1,1,12,1,13,0.92
76,265,267,22,25,3,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,7,6,13,0.54
77,261,279,8,19,11,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,10,3,13,0.77
78,249,250,2,1,1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,6,7,13,0.54
79,265,266,22,31,9,1,1,1,,-1,1,1,1,-1,1,1,1,-1,9,3,12,0.75
80,254,260,5,28,23,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
81,258,270,3,23,20,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
82,249,272,2,17,15,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
83,265,272,22,17,5,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,2,11,13,0.85
84,252,266,10,31,21,1,1,1,1,1,1,1,1,1,1,1,1,-1,12,1,13,0.92
85,253,256,34,26,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
86,258,267,3,25,22,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
87,248,277,24,29,5,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,6,7,13,0.54
88,246,265,9,22,13,1,1,1,1,-1,1,1,1,1,1,1,1,-1,11,2,13,0.85
89,266,272,31,17,14,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,2,11,13,0.85
90,270,272,23,17,6,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1,5,8,13,0.62
91,264,268,32,33,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,-1,9,4,13,0.69
92,265,275,22,30,8,1,-1,1,,1,1,-1,1,-1,1,1,1,1,9,3,12,0.75
93,254,267,5,25,20,1,1,-1,1,1,1,1,1,1,1,1,1,1,12,1,13,0.92
94,256,275,26,30,4,1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,9,4,13,0.69
95,259,272,18,17,1,1,-1,1,,-1,1,1,1,1,1,1,-1,-1,8,4,12,0.67
96,249,260,2,28,26,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
97,278,265,4,22,18,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
98,261,259,8,18,10,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
99,248,272,24,17,7,1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,1,6,7,13,0.54
100,252,246,10,9,1,-1,1,1,,1,-1,1,-1,-1,-1,-1,1,1,6,6,12,0.50
101,262,269,13,21,8,1,1,-1,1,-1,1,-1,1,1,1,1,1,1,10,3,13,0.77
102,261,262,8,13,5,1,1,1,,1,1,1,1,-1,1,1,1,1,11,1,12,0.92
103,247,268,20,33,13,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,10,3,13,0.77
104,246,278,9,4,5,-1,1,1,1,-1,1,-1,1,1,1,-1,1,-1,8,5,13,0.62
105,246,262,9,13,4,1,-1,1,1,-1,1,1,1,1,1,1,1,1,11,2,13,0.85
106,252,274,10,11,1,1,-1,-1,,-1,1,-1,1,1,-1,1,1,-1,6,6,12,0.50
107,263,270,14,23,9,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
108,250,270,1,23,22,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
109,261,260,8,28,20,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
110,268,276,33,15,18,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,1,1,11,12,0.92
111,251,261,7,8,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,5,8,13,0.62
112,251,262,7,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
113,271,273,12,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,12,13,0.92
114,253,258,34,3,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
115,272,270,17,23,6,1,-1,1,,1,1,1,1,1,1,-1,1,1,10,2,12,0.83
116,255,270,27,23,4,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,5,8,13,0.62
117,247,251,20,7,13,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,12,13,0.92
118,266,276,31,15,16,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,3,10,13,0.77
119,272,267,17,25,8,-1,1,1,1,1,1,1,-1,1,-1,-1,1,1,9,4,13,0.69
120,255,266,27,31,4,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,10,3,13,0.77
121,252,256,10,26,16,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
122,259,263,18,14,4,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,12,13,0.92
123,264,277,32,29,3,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,12,13,0.92
124,266,270,31,23,8,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,2,11,13,0.85
125,248,273,24,6,18,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,2,11,13,0.85
126,253,267,34,25,9,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,2,11,13,0.85
127,259,265,18,22,4,1,1,-1,1,-1,1,1,1,1,-1,1,-1,-1,8,5,13,0.62
128,255,265,27,22,5,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,4,9,13,0.69
129,249,257,2,16,14,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
130,251,274,7,11,4,1,1,1,-1,1,1,1,-1,1,1,1,1,1,11,2,13,0.85
131,251,260,7,28,21,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
132,267,268,25,33,8,1,1,1,1,-1,1,1,1,1,1,1,1,-1,11,2,13,0.85
133,259,273,18,6,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
134,263,277,14,29,15,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
135,269,266,21,31,10,1,1,1,1,-1,1,1,1,1,1,1,1,-1,11,2,13,0.85
136,253,246,34,9,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
137,250,272,1,17,16,1,1,1,1,-1,1,-1,1,1,1,1,1,1,11,2,13,0.85
138,251,250,7,1,6,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,4,9,13,0.69
139,249,266,2,31,29,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
140,269,272,21,17,4,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,4,9,13,0.69
141,246,255,9,27,18,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
142,256,261,26,8,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
143,249,261,2,8,6,1,1,1,-1,1,1,1,-1,1,1,-1,-1,-1,8,5,13,0.62
144,249,279,2,19,17,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,10,3,13,0.77
145,278,262,4,13,9,1,-1,1,1,1,1,1,-1,1,1,1,1,1,11,2,13,0.85
146,267,279,25,19,6,1,-1,1,-1,-1,1,1,1,-1,1,1,-1,-1,7,6,13,0.54
147,277,268,29,33,4,1,1,1,1,-1,1,1,1,1,1,1,1,-1,11,2,13,0.85
148,247,264,20,32,12,-1,1,-1,1,1,1,1,-1,-1,1,-1,1,1,8,5,13,0.62
149,253,257,34,16,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
150,257,260,16,28,12,1,1,-1,1,1,1,1,1,1,1,1,1,1,12,1,13,0.92
151,271,274,12,11,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,2,11,13,0.85
152,246,277,9,29,20,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
153,248,251,24,7,17,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,12,13,0.92
154,256,278,26,4,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
155,252,268,10,33,23,-1,1,1,1,1,1,1,1,1,1,1,1,-1,11,2,13,0.85
156,248,250,24,1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
157,257,251,16,7,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
158,248,261,24,8,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
159,250,252,1,10,9,1,-1,1,1,-1,1,1,1,1,1,1,1,-1,10,3,13,0.77
160,254,258,5,3,2,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,4,9,13,0.69
161,247,275,20,30,10,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,10,3,13,0.77
162,260,276,28,15,13,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,12,13,0.92
163,250,261,1,8,7,1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,9,4,13,0.69
164,257,266,16,31,15,1,1,1,1,-1,1,1,1,1,1,1,1,-1,11,2,13,0.85
165,254,272,5,17,12,1,1,1,1,-1,1,-1,1,1,1,1,1,1,11,2,13,0.85
166,267,270,25,23,2,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,6,7,13,0.54
167,253,271,34,12,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
168,262,276,13,15,2,-1,-1,-1,-1,1,-1,,-1,1,-1,1,1,1,5,7,12,0.58
169,247,255,20,27,7,-1,1,1,-1,1,-1,,-1,1,1,-1,-1,-1,5,7,12,0.58
170,264,279,32,19,13,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,4,9,13,0.69
171,263,261,14,8,6,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,5,8,13,0.62
172,266,273,31,6,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
173,255,263,27,14,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
174,274,278,11,4,7,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,6,7,13,0.54
175,259,269,18,21,3,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,5,8,13,0.62
176,256,277,26,29,3,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,10,13,0.77
177,248,274,24,11,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,12,13,0.92
178,255,276,27,15,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
179,258,272,3,17,14,1,1,1,1,-1,1,1,1,1,1,1,1,-1,11,2,13,0.85
180,247,259,20,18,2,-1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,6,7,13,0.54
181,254,268,5,33,28,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
182,265,276,22,15,7,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,3,10,13,0.77
183,253,254,34,5,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
184,246,248,9,24,15,1,-1,1,1,-1,1,1,1,1,1,1,1,1,11,2,13,0.85
185,247,276,20,15,5,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,2,11,13,0.85
186,255,257,27,16,11,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,4,9,13,0.69
187,264,275,32,30,2,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,-1,7,6,13,0.54
188,258,261,3,8,5,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,10,3,13,0.77
189,274,272,11,17,6,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
190,260,264,28,32,4,1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,6,7,13,0.54
191,250,273,1,6,5,1,-1,1,1,1,1,-1,1,1,1,1,1,-1,10,3,13,0.77
192,252,276,10,15,5,-1,1,1,1,1,1,1,-1,1,1,1,1,1,11,2,13,0.85
193,246,263,9,14,5,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,10,3,13,0.77
194,267,272,25,17,8,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,4,9,13,0.69
195,258,260,3,28,25,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
196,271,278,12,4,8,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,12,13,0.92
197,253,251,34,7,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
198,246,258,9,3,6,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,3,10,13,0.77
199,256,257,26,16,10,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,11,13,0.85
200,260,265,28,22,6,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,6,7,13,0.54
201,253,279,34,19,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
202,273,276,6,15,9,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
203,246,247,9,20,11,1,1,1,1,-1,1,1,1,1,1,1,1,1,12,1,13,0.92
204,254,257,5,16,11,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
205,265,278,22,4,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,12,13,0.92
206,247,261,20,8,12,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,12,13,0.92
207,257,268,16,33,17,1,1,1,1,1,1,1,1,1,1,1,1,-1,12,1,13,0.92
208,264,271,32,12,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
209,277,258,29,3,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
210,250,262,1,13,12,1,1,1,1,1,1,1,1,-1,1,1,1,1,12,1,13,0.92
211,264,265,32,22,10,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,11,13,0.85
212,265,268,22,33,11,1,1,1,1,1,1,1,1,1,1,1,1,-1,12,1,13,0.92
213,251,256,7,26,19,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
214,270,271,23,12,11,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,2,11,13,0.85
215,277,279,29,19,10,1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,5,8,13,0.62
216,257,278,16,4,12,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,2,11,13,0.85
217,265,277,22,29,7,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,1,6,7,13,0.54
218,246,254,9,5,4,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,6,7,13,0.54
219,254,274,5,11,6,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,10,3,13,0.77
220,259,278,18,4,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
221,253,272,34,17,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
222,251,272,7,17,10,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
223,261,268,8,33,25,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
224,256,250,26,1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
225,254,269,5,21,16,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
226,266,278,31,4,27,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,12,13,0.92
227,249,259,2,18,16,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
228,247,262,20,13,7,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,12,13,0.92
229,250,264,1,32,31,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
230,255,278,27,4,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
231,246,276,9,15,6,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,10,3,13,0.77
232,261,265,8,22,14,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
233,271,275,12,30,18,1,1,1,1,-1,1,1,1,-1,1,1,1,1,11,2,13,0.85
234,254,256,5,26,21,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
235,277,278,29,4,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
236,268,275,33,30,3,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,8,5,13,0.62
237,265,269,22,21,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,5,8,13,0.62
238,274,279,11,19,8,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1,9,4,13,0.69
239,266,250,31,1,30,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,2,11,13,0.85
240,246,273,9,6,3,-1,-1,1,-1,1,-1,1,-1,1,1,1,1,-1,7,6,13,0.54
241,255,261,27,8,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
242,274,262,11,13,2,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,10,3,13,0.77
243,272,265,17,22,5,1,1,-1,1,1,1,1,1,1,1,1,-1,1,11,2,13,0.85
244,246,253,9,34,25,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
245,270,273,23,6,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
246,270,274,23,11,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
247,260,262,28,13,15,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,12,13,0.92
248,256,262,26,13,13,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,12,13,0.92
249,256,254,26,5,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
250,276,278,15,4,11,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,12,13,0.92
251,249,264,2,32,30,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,13,1.00
252,256,251,26,7,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,12,13,0.92
253,253,247,34,20,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,13,13,1.00
254,246,279,9,19,10,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,10,3,13,0.77
255,248,265,24,22,2,1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,6,7,13,0.54
